lyrics,sentiment,zero_shot,one_shot,few_shot
white jury hide executioner face see everyone need know place let keep blackbird hidden flue oh oh oh jena oh oh oh jena oh oh oh jena take noose becomes boy cannot think straight particularly paper bag skin yes sir sir well wipe smile right face weve got rule must fit day way sanity prevail know day might come shot dark well might find way heart hold key kingdom come take noose,Neutral,Negative,Positive,Negative
needle stabbed wall executioner curtain call fighting back found life drowning way cause richard hung richard hung happened day jesus caught pushed shelf thought find better way slashing stabbing manning ramming death room black curtain clothes laid roof kicked rope tied rafter quick kick chair richie knew cause richard hung richard hung happened day jesus caught pushed shelf thought find better way needle injecting shooting contagiously life suddenly flashed right eye swinging guy turning gray mold died give give throw away burning acid bath pulmonary wrath feel boiling surge wont let go throw away throw throw away swinging room richie wont come play poor bastard hung day oh year seem fly death final high cause richard hung richard hung happened day jesus caught pushed shelf thought find better way slashing stabbing ripping stabbing shredding slashing shredding stabbing ripping tearing attacking manning taking body god gave gotta get cause richard hung cause richard swung cause richard strung needle stung pulled shelf cause richard hung,Neutral,Positive,Positive,Neutral
lately high stepping gotta lover ghetto real take movie he carrying steel lord corner king block lacing lady chinchilla rock he want world ghetto love ghetto get high together ghetto lately high stepping lord bod king heart gangster day hennessey passion dark try beat u cant dont give fuck try beat u cant dont give fuck he want world ghetto love ghetto get high together ghetto never worry he gone till november taught keep hand trigger,Neutral,Negative,Positive,Neutral
forgive turn tide calm angry sea alone decides writes symphony light every star make darkness bright keep watch long lonely night still find time hear child first prayer saint sinner call always find though make sad see way live hell always say forgive grant wish make dream come true paint cloud turn gray blue alone find rainbow end alone see lie beyond bend touch tree turn leaf gold know every lie told though make sad see way live hell always say forgive,Neutral,Positive,Positive,Positive
piling stone guide sea say stopped tide never never build child know build made way there slowing standing still innocent reckless get old never notice gain world lose moment rise fall tide surround u drowns u finding crack intent cant stop water rushing cant stop wall collapsing rock give rain ruin build child know build made way there innocent reckless get old never notice gain world lose moment rise fall tide surround u drowns u watching year washed away scattered stone remains kingdom swallowed sea innocent reckless innocent reckless get old never notice gain world lose moment rise fall tide surround u drowns u get old never notice gain world lose moment rise fall tide surround u guide u,Negative,Neutral,Positive,Neutrall
get high see go sigh inside fly shy im beside love feel way love hard loving right fight sight make nighttime bright havent right make girl love feel way love hard loving yes hard loving loving,Negative,Positive,Neutral,Neutral
dont want hate lose youve got devil deep blue sea forgive cause cant forget youve got devil deep blue sea ought cross list come knocking door fate seems give heart twist come running back hate guess love youve got devil deep blue sea,Positive,Neutral,Positive,Positive
love sentimental reason hope believe ill give heart love alone meant please give loving heart say well never part think every morning dream every night darling im never lonely whenever youre sight love sentimental reason hope believe given heart love sentimental reason hope believe ive given heart hope believe ive given heart,Positive,Positive,Positive,Positive
maybe youll fall love domani maybe tomorrow night sun shine ill change name johnny giavonni say domani youll mine come senorina italy hear plea ill hire hall uncle aunt pa paisani agree wed domani super duper bravissimo dont say poor heart youll break cause uncle aunt pa paisani agree wed domani,Negative,Negative,Positive,Neutral
say much fun say get much sun democrat republican guess im screwed im neither one dont say hell say heck politically correct dont pray school safe sex isnt expect yeah know say someone gotta pay theyre probably livin la dont care anyway probably village voice nashville scene people choice bunch noise decided funny boy say dont belong say hair short long say who right who wrong well come along well wonder theyve got life broken car two exwives drink beer friday night wonder like fight wonder theyve got soul like rocknroll live gotta know tell em go well dont care anyway theyre probably livin la aw know say,Positive,Neutral,Neutral,Neutral
im driftin driftin like ship sea im driftin driftin like ship sea nobody seems want except wide open sea ship aint got captain ship aint got crew ship aint got captain ship aint got crew doin tide dare blow past future look around savior search hungry sea look around savior search hungry sea maybe he bottom waiting patiently,Negative,Neutral,Positive,Positive
lullaby birdland thats always hear sigh never wordland could way reveal phrase feel ever heard two turtle dove bill coo love thats kind magic music make lip kiss there weepy old willow really know cry thats id cry pillow tell farewell goodbye lullaby birdland whisper low kiss sweet well go flyin high birdland high sky love,Negative,Neutral,Positive,Positive
fall asleep dream home wave crashing place ive ever known future see fire sky see around said past dead life gone said wont give see sun hold til fear leaving barely breathing waking letting go sound angel alive ghost haunted sorrow hope slipping hand gravity taking hold said im afraid brave enough give see sun hold til fear leaving barely breathing cry tired wing falling need catch burn break cant take anymore return place water cover everything rescue somehow hold til fear leaving barely breathing cry tired wing falling need catch hold til fear leaving barely breathing,Negative,Positive,Positive,Positive
like tea oh oh damn damn damn damn damn somebody better turn light got birthday set coming need one need everyone come show love got booty sitting right make clap got booty cheek looking like getting fight aint nice im tryna leave big money bed night ooh nigga asking im bout get tell em nothing unless bringing money thats got boy know aint fucking need stack otherwise motherfucka get back got em like damn damn oh got whole club screamin damn damn got em like damn oh got whole club screamin damn damn got em like damn oh got whole club screamin damn oh oh got em like damn oh oh got whole club screamin damn damn ooh look ice oh touching gon pay price oh know im looking right oh chillin aint spendin night ooh ooh ooh ooh ooh ooh nigga asking im bout get tell em nothing unless bringing money thats got boy know aint fucking need stack otherwise motherfucker get back got em like damn damn oh got whole club screamin damn damn got em like damn oh got whole club screamin damn damn got em like damn oh got whole club screamin damn oh oh got em like damn oh oh got whole club screamin damn damn oh look regular uh ay bout set whoah bottle turnin whoah oh oh got flow oh got know put show aint oh look fine got em like damn damn oh got whole club screamin damn damn got em like damn oh got whole club screamin damn damn got em like damn oh got whole club screamin damn oh oh got em like damn oh oh got whole club screamin damn damn,Neutral,Neutral,Positive,Positive
intro happy hour spent lovely afterglow miss sweet caress rendezvous voice soft low miss sooo filled heart regret fear find heart filled top tear ill always love want much youll never know miss sooo ill always love want much youll never know miss sooo,Negative,Negative,Positive,Negative
emerald cathedral valley cloud span branch two eye keep watch hummingbird dance snake hesitates calm command jaguar wait chain saw whining bulldozer roar monkey screeching flight spire arawak cut one blow jaguar go jaguar go hammer hunger anvil fear poor sao paolo stream frontier promise farmland honest work honest pay till rain unrelenting sweep topsoil away captain cattle take land cheap new york osaka crave beef hoof crush dirt dust jaguar go jaguar go circle broken crystal cracked thread creation torn slip veil terror unknown jaguar go canyon commerce convoy light army loneliness drive night trading plastic plastic making fashion trash dreaming love love turn ash fire prometheus flare sky sea prophet boil dry gutted globe garden im told jaguar go jaguar go jaguar go,Neutral,Neutral,Negative,Negative
day dark night cold people acting like theyve lost soul everywhere go see another person like trying make feel like home standing bridge dark im seeing breath trying make home without freezing death grandfather face stuck mind seeing tonight gonna last time shouldve brought jacket blowing hand like really gonna stop chill buy cup coffee five dollar bill thinking laying box people look still time like start thinking first breath clock start ticking im trying bum anyone trying dramatic thinking loud im trying make sense mind defence cold im feeling outside minute escape rhythm rhyme get away grey bit time yeah kinda funny world treat like freak sideshow carnival creature climbing outta can im diamond sand cant tell difference beach full rhinestone life like trying swallow pinecone tough live fast die slow talk dial tone dream far fetched seems sleep underneath park bench know dont make sense dont expect know like smoke drink piss sniffing everything sight push rock pipe liftoff keep puffin til lip turn white chest get tight fuck really care youre far left even death look right hope best pray get little better yesterday pardon think im next url many problem going thats left girl packed bag traveled pen notepad pissed broke thing dont still try find way escape hate planted head lead mistake im breaking mold see patient calm many sleep rain im awake storm writing life short film rise fall managed scorch hill climb wall pound pavement aimless cold existence even though thing changing im going distance overcoming doubt control long put behind cause life still go im much stronger know stand lost soul search day dark night cold people acting like theyve lost soul everybodys trying cry trying get trying feel control look hard enough sometimes youll find place might remind home doesnt feel like home pretend dont feel alone,Positive,Negative,Positive,Positive
throw world shoulder tonight mr smith throw world shoulder tonight mr smith he looking long time seems look le want see turned west long time turned east turned west there heaven meantime there heaven let near there heaven meantime let near let near weve talking long time seems speak le seem say there hell meantime let u shut unless want pray saw everything real clearly close bone would show see everything clearly isnt always best thing know there heaven meantime there heaven let near there heaven meantime let near let near throw world shoulder tonight mr smith throw world shoulder tonight mr smith throw world shoulder tonight mr smith throw world shoulder tonight mr smith throw world shoulder tonight mr smith throw world shoulder tonight mr smith,Positive,Negative,Positive,Positive
im tired need sleep im talking pillow case whats wrong make mistake thems break im cry anyone come rescue talk new wave talk way save day talk new world today hey look sad made mad cant cant get hey look hurt get deserve know go dont cry life bitch want bad enough there lot easy way die talk new wave talk way save day talk new world today hey look sad made mad cant cant get hey look hurt get deserve know go dont cry talk new wave talk way save day talk new world today hey look sad made mad cant cant get hey look hurt get deserve know go dont cant tough noone know homies lonely dont cry,Negative,Neutral,Negative,Neutral
ever sister brother mother child friend suddenly dont seem different anymore earth shaking underneath foot war moved city street suddenly thing different remember picture fade memory turn gray remember dust settle sun shine father taken wife son daughter left wander world alone use tryin make sense thing rain rain healing water land rise rise everyone everyone remember picture fade memory turn gray remember dust settle sun shine gotta shine gotta shine everyone remember picture fade memory turn gray remember dust settle sun shine sun shine sun shine sun shine,Neutral,Neutral,Positive,Positive
coming rotting waste die killing rotting waste rotting waste giving chance die killing way fall dying hell turned inside beyond darkness arise turned inside beyond fearless cry turned inside beyond darkness arise turned inside beyond piercing cry turned inside,Negative,Negative,Neutral,Positive
juliet said night air wherefore art thou romeo beneath balcony hearing word didnt know romeo said juliet wherefore mean juliet said gentleman dream snow white said cinder prince always gone fighting war inviting whore sing love sweet song cinder said snow white charmings letting steam he gentleman gentleman dream amy said warden turn tv there always someone recognise shes much better looking warden said lolita youre star stage screen crime pay youre gentleman dream carmen said butterfly come every night submit lover walk knife butterfly said well dont know youre symbol scheme get life youre gentleman dream,Positive,Neutral,Positive,Positive
want love roll slowly stick knife inside twist around want love grab finger gently slam doorway put face ground want love murder mother take somewhere like hell want love change friend enemy change friend enemy show fault wont let love disrupt corrupt interrupt wont let love disrupt corrupt interrupt yeah wont let love disrupt corrupt interrupt anymore want love walk right bite grab hold fight leave dying ground want love split mouth wide open cover ear never let hear sound want love forget offended defended everybody tore yeah want love change friend enemy change friend enemy show fault yeah wont let love disrupt corrupt interrupt wont let love disrupt corrupt interrupt wont let love disrupt corrupt interrupt anymore,Negative,Neutral,Positive,Negative
pick car night tell im pretty like way feel side dont know sometimes look catch something fast something fierce restless hunger deep inside thing cant hide ill never kind girl wholl wals talk act like ive gotta man world im little rough late good pink lace heel high mother say ill get trouble night town dont scare handle heroically think ive got problem well world fault miss right something role model find self image soft hard edge let say im im wild tame cause go baby im gona go flame,Neutral,Positive,Positive,Positive
yeah dedicate one dog n thug across da globe big bulla jackass corn cant believe black brother dead ah gone yuh miss friend turn yuh lighter da air like dis one da bad man anthem life shizzle nizzle put yuh lighter da air bad man ah bad man ah rob man ohh bad man freak man gunshot ah beat man bad man support caine way jamaican stay bad man play play pas mi di ak anytime yuh buk pan real bad man jus hol fist ah give di toppa toppa someway gun tall da sky go suck yuh mumma dry yuh take yeah bangla give face lift gun put yuh hole rest glack yuh mole yuh take yeah garden give face lift bad man time greet demgreet demgreet dem see di enemy ah come greet dem nah capri till di hole dem done greet demgreet demgreet dem see si enemy ah come mi ah capri till dun dem ah di hole dem run greet demgreet demgreet demsee di enemy ah come greet dem nah capri dem till di hole dem done greet dem greet dem greet demsee di enemy ah come mi nah capri dem till mi kill dem di hole dem humm gun tall da sky go suck yuh mumma dry yuh take bangla give face lift gun put yuh hole rest glack yuh mole yuh take yeah garden give face lift bad man ah bad man ah rob man oh bad man freak man gunshot beat man bad man support caine way jamaican stay yeah bad man play play pas mi di ak anytime yuh buk pan real bad mann jus hol fist give di toppa toppa somewayyyy gun tall da sky go suck yuh mumma dry yuh take bangla give face lift gun put yuh hole rest glack yuh mole yuh take yeah garden give face lift bad man time enemy enemyenemy see di enemy ah come bust upbust upbust upwatch dem ah run enemyenemyenemy mi see ah come bust upbust upbust mek dem run greet dem greet dem greet dem see di enemy ah come greet dem nah capri dem till di hole dem done greet dem greet dem greet dem see di enemy ah come mi ah capri dem till kill dem di hole dem done gun tall da sky go suck yuh mumma dry yuh take seaview give face lift gun put yuh hole rest glack yuh mole yuh take yeah garden give face lift yeah coming montego bay stop gully flanka salem reach ochi rio first pas rite trilawny shizzle nizzle den reach ochi come thru flatbridge stop spanish town hail gangsta friend yeah den reach village hail pen henry family,Positive,Neutral,Positive,Positive
baptized fire im chosen one forgotten soul im burning beast nailed crucified angel death eternal sin heaven hell im always dream steal truth hell death pain unite fire still burn inside damnation decay hell black shadow without soul darkness reign world destruction despair hell sin heart blood evil flesh blood supplicate cross holy church eternity,Negative,Neutral,Positive,Negative
understand must done dont make something need spell want maybe one really want try cant see whats happening maybe love blind understand must done dont make something understand must done dont make something need spell need get together understand must done dont make something understand must done dont make something need spell need get together whats happening whats happening,Positive,Positive,Neutral,Neutral
cant kill cant kill cant kill cant kill cant kill cant kill blow atom bomb ill right back wont take long cant kill cant kill cant kill cant kill shoot mean old man youll coming bade japan cant kill cant kill cant kill driver flesh machine really cant stop rebel smashing car cant kill cant kill cant kill cant kill since well might well try friend cant kill,Neutral,Negative,Positive,Positive
long there music word romance spell theme start dream there always chance long there music whatever song long there music sweetheart sing ill sing love melody bird wing loneliest day never seem long long there music song long there music sweetheart sing ill sing love melody bird wing loneliest day never seem long long there music song,Neutral,Positive,Negative,Negative
heard there sound pearl ground go eye mouth heard there sound pearl ground go eye heard there sound pearl ground go eye mouth heard there sound pearl ground go eye heard there sound pearl ground go eye mouth heard there sound pearl ground go eye heard there sound pearl ground go eye mouth heard there sound pearl ground go eye there boy look lonely watch crack there boy look lonely watch crack there boy look lonely watch dance there boy look lonely watch cryyyy heard there sound pearl ground go eye heard there sound pearl ground go eye heard there sound pearl ground go eye heard there sound pearl ground go mouth hope youll come home hope youll save soul,Negative,Neutral,Negative,Negative
see dont know face wear stand involved somehow igniting lover flame want want knock well youre doin fine want heart want life security world fire burning inside said world fire cant see day front see way youre haunting said world fire feel bitterness invade u eroding never really mine dont talk vulnerability exploiting given honestly said want want knock well youre doin fine want heart want life security oh world fire burnin inside said world fire cant see day front see way youre haunting say world fire world fire said fire oh know world fire said fire said fire know fire oh fire said fire fire said fire,Neutral,Positive,Positive,Neutral
take ball game swing batter batter swing batter batter swing batter batter swing swing batter batter swing batter batter swing batter batter swing hey baby come often hey baby whats sign hold goin jimmy next line swing batter batter swing batter batter swing batter batter swing swing batter batter swing batter batter swing batter batter swing yes went harvard majored premed stayed one semester tom who next swing batter batter swing batter batter swing batter batter swing swing batter batter swing batter batter swing batter batter swing swing batter batter swing batter batter swing batter batter swing swing batter batter swing batter batter swing batter batter swing swing everybody strike nine time ten got step plate son cause every walked right said could take home hey boy ill see later goin goin goin gone,Positive,Neutral,Positive,Positive
fuckin bitch like hypoallergenic woman venus caught love playing tennis girl lebron james playing mind game switch home team every single time mind change dont play game hoe play nintendo d nigga pray dont see end paper like p nigga damn high school fattest as high school got fatter as swear instagram day two ago seen as deja vu shit deja vu know reminiscing one time smashed back whip gave head swear god best night life cant even sit frontin lying pretend dancing titty know first little bit embarrassing yeah 5 minute later lap kickin like one youre telling went south school near tsu know business major cant even get job youre comin right school told check valley seems like hiring la girl look like aspiring new scenery might inspiring said pshh man everything aint everybody shit im good okay came came little change bring change little fame bring famous little danger im dangerous gettin high im supply laying low cause wont fade u deliver deliver cause nigga need still feel like deserve feel like deserve still feel like deserve feel like deserve fuckin bitch like hypoallergenic woman venus caught love playing tennis hoe lebron james playing mind game switch home team every single time mind change drop pussy pop take top spending extra time aint got turned around said im proud seems like every im hearin ya seems like yesterday freestyled cafeteria tell happened know aint place ask said shit flashback back past man 07 lax first time baggage claim c picked curb bag hand nervous shit knew meeting ye riding hill swerve swervin shit seeing house hill like im deserving shit oh boy im worth yeah time put work shit oh back good imprint hit studio kanye shit intense said boy got boy prophet sign got profit year later yeah poppin got crib hill used drive brr brr call c first know almost went tsu alesha dropped fuck guess everything aint everybody oh boy swerve okay came came little change bring change little fame bring famous little danger im dangerous gettin high im supply laying low cause wont fade u deliver deliver cause nigga need still feel like deserve feel like deserve still feel like deserve feel like deserve,Neutral,Negative,Positive,Positive
speak low speak love summer day withers away soon soon speak low speak love moment swift like ship adrift swept apart soon speak low darling speak low love spark lost dark soon soon feel wherever go tomorrow near tomorrow always soon time old love brief love pure gold time thief late darling late curtain descends evrything end soon soon wait darling wait speak low speak love soon,Positive,Positive,Positive,Positive
ill damned come ghost thats unusual moon full decided call sit hand telephone hearing voice id known couple light year ago headed straight fall know memory bring bring diamond rust yes know memory bring bring diamond rust see standing brown leaf around snow hair smiling window crummy hotel washington square breath come white cloud mingles hang air speaking strictly couldve died youre telling youre nostalgic give another word good word keeping thing vague cause need vagueness come back clearly yes love dearly youre offering diamond rust ive already paid know memory bring bring diamond rust yes know memory bring bring diamond rust diamond diamond rust diamond diamond rust diamond diamond rust diamond diamond rust,Negative,Positive,Neutral,Neutral
sittin mornin sun ill sittin evenin come watching ship roll watch em roll away yeah im sittin dock bay watching tide roll away ooo im sittin dock bay wastin time left home georgia headed frisco bay cause ive nothing live look like nothins gonna come way im gonna sit dock bay watching tide roll away ooo im sittin dock bay wastin time look like nothing gonna change everything still remains cant ten people tell guess ill remain yes sittin resting bone loneliness wont leave alone two thousand mile roamed make dock home im gonna sit dock bay watching tide roll away oooowee sittin dock bay wastin time,Positive,Positive,Neutral,Neutral
believe there something deep inside shouldnt time time sure found thought love crime care fall need worry need turn away cause dont matter anyway baby ooh id miss heartbeat ooh id miss right away ooh id miss heartbeat cause aint love dont feel way oh touch lose self control sad sensation cant hide love easy aint easy walk away keep faith there reason yeah need worry need turn away cause dont matter anyway baby ooh id miss heartbeat ooh id miss right away ooh id miss heartbeat cause aint love dont feel way aint big promise ill true cause ill bout anything someone like baby ooh id miss heartbeat ooh id miss right away ooh id miss heartbeat cause aint love dont feel way,Negative,Neutral,Positive,Positive
unfortunately im coming bad end im destined bad end hanging around like blood outta stone getting stuff outta youse like blood outta stone blood outta stone youre history youve quit existation youre green grub gut id turn money table discorporate bore make tired bone cause getting thing outta friend dissolved youre yakking phone youre technogrounded youre blood outta stone might appear deranged youre blood outta stone youre mutton dressed lamb cause youre blood outta stone least ive got aim chick blood outta stone im working aim,Neutral,Negative,Positive,Positive
woke morning head poundin cant believe let stayed night drinkin hell must thinkin well swore id never drink like back swear ill never drink give hair dog bit cause heard somewhere take bite away give hair dog bit tell help ease pain swear ill never drink thats old familiar story ive told thousand time somehow cant get mind memry get much clearer look mirror huggin cold porcelain oh tight prayin jesus get night,Positive,Positive,Positive,Positive
love madly right wrong sound like lyric song since thought oughta know love love madly better fish sea theory thats sure like said love love madly could see happy dream proudly youd know breath spring make sing love song loudly good thing come wait relax wait fate let see day youll say love love madly since thought oughta know love madly thats sure like said love love madly could see happy dream proudly youd know breath spring make sing love song loudly let see day youll say love madly love madly right wrong sound like lyric song since thought oughta know love madly better fish sea theory thats sure like said love madly could see happy dream proudly youd know breath spring make sing love song loudly good thing come wait relax wait fate let see day youll say love love madly love love madly love madly oh got big eye baby,Neutral,Negative,Positive,Positive
stood alone upon platform vain puerto ricans playing salsa rain open door manual lock fast food parking lot headed west man move new york lied needed truth oh need somebody needed someone could trust dont gamble would bet u like dead sea told like dead sea youll never sink oh lord like dead sea whoa im like dead sea finest word ever said honey cant see born dead sea told good running away domestic life never suited like suitcase left clothes back took rest took map yes time live somebody else father died decided live felt felt time im glad cause cat thats right like dead sea told like dead sea youll never sink oh lord im dead sea whoa im like dead sea finest word ever said honey cant see born dead sea ive ive defeated youre message heeding would stay would stay night dead sea told like dead sea never sink oh lord im dead sea whoa im like dead sea nicest word ever said honey cant see born dead sea,Neutral,Negative,Neutral,Neutral
wonder care much last night cried sleep one make weep dried eye greet day wondered pay tear shed day give relief wash away memory night wonder ill suffer wonder care much pride made say forgive take blame mistake im thinking wonder im still love heart cant thrive misery life destiny thing get bear ask still care wonder care much wonder care much,Negative,Positive,Positive,Positive
funny valentine writer lorenz hart richard rodgers behold way fine feathered friend virtue doth parade thou knowest dimwitted friend picture thou hast made thy vacant brow thy tousled hair conceal thy good intent thou noble upright truthful sincere slightly dopey gent youre funny valentine sweet comic valentine make smile heart look laughable unphotographable yet youre favorite work art figure le greek mouth little weak open speak smart dont change hair care stay little valentine stay day valentine day figure le greek mouth little weak open speak smart dont change hair care stay little valentine stay day valentine day,Negative,Negative,Negative,Negative
name lola showgirl yellow feather hair dress cut would merengue chacha tried star tony always tended bar across crowded floor worked eight til four young could ask copa copacabana hottest spot north havana copa copacabana music passion always fashion copa fell love copa copacabana name rico wore diamond escorted chair saw lola dancing finishedhe called rico went bit far tony sailed across bar punch flew chair smashed two blood single gun shot shot copa copacabana hottest spot north havana copa copacabana music passion always fashion copa lost love like havana music passion always fashion name lola showgirl thirty year ago used show disco lola still dress used wear faded feather hair sits refined drink halfblind lost youth lost tony shes lost mind copa copacabana hottest spot north havana copa copacabana music passion always fashion copa dont fall love dont fall love,Positive,Positive,Negative,Positive
white wheel city tonight dust heart turn burn bring dust heart cool blue note echo land loud jewel heart strike chord break spine dust heart saw face long white car move away get away gate wild kingdom open stood around cloud doubt white wheel city tonight dust heart turn burn bring dust heart saw face long white car move away get away much longer live way ive storm long long white car silken gray take back belong saw face long white car move away get away,Positive,Positive,Negative,Positive
ever lonely ever blue ever loved someone love cant see im sorry mistake ive made cant see ive changed dear cant see ive paid oh little forgiving take back heart go living apart knew id youd know ask ever lonely ever blue little forgiving take back heart go living apart knew id youd know ask ever lonely ever blue,Negative,Positive,Neutral,Neutral
